# HYG Database v4.1 subset: -1 <= visual magnitude <= 6.0
# Source: https://github.com/astronexus/HYG-Database
# License: CC BY-SA 4.0; see THIRD_PARTY_HYG.txt
ra_deg,dec_deg,mag,hip,name
95.9879250,-52.6956600,-0.62,30438,Canopus
213.9154500,19.1824100,-0.05,69673,Arcturus
219.9114750,-60.8339760,-0.01,71683,Rigil Kentaurus
279.2346000,38.7836920,0.03,91262,Vega
79.1722500,45.9979910,0.08,24608,Capella
78.6344700,-8.2016400,0.18,24436,Rigel
114.8254950,5.2249930,0.40,37279,Procyon
24.4283400,-57.2367570,0.45,7588,Achernar
88.7929350,7.4070630,0.45,27989,Betelgeuse
210.9559350,-60.3730390,0.61,68702,Hadar
297.6958200,8.8683220,0.76,97649,Altair
186.6496650,-63.0990920,0.77,60718,Acrux
68.9801550,16.5093010,0.87,21421,Aldebaran
79.1688900,46.0008420,0.96,,
201.2982450,-11.1613220,0.98,65474,Spica
247.3519200,-26.4320020,1.06,80763,Antares
116.3291550,28.0261990,1.16,37826,Pollux
344.4125700,-29.6222360,1.17,113368,Fomalhaut
191.9303850,-59.6887640,1.25,62434,Mimosa
310.3579800,45.2803380,1.25,102098,Deneb
219.9051900,-60.8383000,1.35,71681,Toliman
152.0929800,11.9672070,1.36,49669,Regulus
104.6564550,-28.9720840,1.50,33579,Adhara
113.6495100,31.8882760,1.58,36850,Castor
187.7914350,-57.1132120,1.59,61084,Gacrux
263.4021750,-37.1038210,1.62,85927,Shaula
81.2827650,6.3497020,1.64,25336,Bellatrix
81.5729700,28.6074500,1.65,25428,Elnath
138.3006150,-69.7172080,1.67,45238,Miaplacidus
84.0533850,-1.2019200,1.69,26311,Alnilam
332.0581350,-46.9609750,1.73,109268,Alnair
85.1896950,-1.9425720,1.74,26727,Alnitak
122.3831400,-47.3365880,1.75,39953,
193.5070800,55.9598210,1.76,62956,Alioth
51.0806700,49.8611800,1.79,15863,Mirfak
276.0430200,-34.3846160,1.79,90185,Kaus Australis
165.9323250,61.7510330,1.81,54061,Dubhe
107.0978550,-26.3932000,1.83,34444,Wezen
206.8853100,49.3132650,1.85,67301,Alkaid
125.6285400,-59.5094830,1.86,41037,Avior
264.3297000,-42.9978240,1.86,86228,Sargas
89.8822350,44.9474330,1.90,28360,Menkalinan
252.1661550,-69.0277150,1.91,82273,Atria
99.4279200,16.3992520,1.93,31681,Alhena
131.1758850,-54.7088210,1.93,42913,Alsephina
306.4118850,-56.7350900,1.94,100751,Peacock
37.9462500,89.2641090,1.97,11767,Polaris
95.6749350,-17.9559180,1.98,30324,Mirzam
141.8968500,-8.6586030,1.99,46390,Alphard
31.7933250,23.4624230,2.01,9884,Hamal
154.9930950,19.8414890,2.01,50583,Algieba
10.8973500,-17.9866050,2.04,3419,Diphda
283.8163500,-26.2967220,2.05,92855,Nunki
211.6709250,-36.3699540,2.06,68933,Menkent
2.0968650,29.0904320,2.07,677,Alpheratz
17.4329100,35.6205580,2.07,5447,Mirach
86.9391150,-9.6696050,2.07,27366,Saiph
222.6765750,74.1555050,2.07,72607,Kochab
340.6667250,-46.8845770,2.07,112122,Tiaki
263.7336150,12.5600350,2.08,86032,Rasalhague
47.0422200,40.9556480,2.09,14576,Algol
30.9747600,42.3297250,2.10,9640,Almach
177.2649450,14.5720600,2.14,57632,Denebola
